;baseMean;log2FoldChange;lfcSE;pvalue;padj;symbol;entrez
ENSG00000162843;1.391477393;0.007282684;0.30517496;0.878085056;NA;WDR64;128025
ENSG00000175221;845.4536431;-0.013951045;0.096902298;0.878097186;0.949376961;MED16;10025
ENSG00000198730;2503.292482;-0.012269212;0.103203107;0.878316016;0.949522607;CTR9;9646
ENSG00000246792;5.641663592;-0.016128047;0.287260259;0.878337434;0.949522607;NA;NA
ENSG00000092009;1.780495656;0.008330978;0.303692446;0.878404812;NA;CMA1;1215
ENSG00000039123;1219.026403;-0.012932613;0.086934419;0.878436653;0.949526298;MTREX;23517
ENSG00000146674;3588.905341;0.022887745;0.232278409;0.878446387;0.949526298;IGFBP3;3486
ENSG00000230655;1.679834448;-0.007469346;0.303885025;0.878506558;NA;NA;NA
ENSG00000114737;48.17461888;0.023971752;0.208326945;0.878519179;0.94954794;CISH;1154
ENSG00000224316;2.98149981;-0.011836821;0.298294605;0.878561709;NA;NA;NA
ENSG00000227934;1.51384486;0.009503725;0.302372248;0.87858485;NA;NA;NA
ENSG00000151503;308.0942503;0.016912709;0.119111725;0.878601521;0.949579901;NCAPD3;23310
ENSG00000160691;4540.957994;-0.013324311;0.094828102;0.878883895;0.949779959;SHC1;6464
ENSG00000251595;8.559652681;-0.015712977;0.285382654;0.878892192;0.949779959;ABCA11P;79963
ENSG00000268686;1.376349519;0.010478669;0.304660058;0.878894961;NA;LOC101928295;101928295
ENSG00000231351;16.91415814;-0.021714485;0.255214511;0.879065765;0.94980514;NA;NA
ENSG00000258376;37.12584237;0.023421951;0.231922576;0.879123637;0.94980514;NA;NA
ENSG00000152104;2932.61064;-0.018382965;0.137525145;0.879184584;0.94980514;PTPN14;5784
ENSG00000233503;17.6421929;0.022099011;0.256043578;0.879203701;0.94980514;NA;NA
ENSG00000186297;1.102196291;0.005129044;0.306807803;0.879260216;NA;GABRA5;2558
ENSG00000061455;884.0872112;-0.017032465;0.120958194;0.879273893;0.94980514;PRDM6;93166
ENSG00000233771;31.61086371;-0.023035669;0.234828333;0.87933147;0.94980514;NA;NA
ENSG00000257594;16.1790301;0.020270909;0.267186089;0.879335183;0.94980514;GALNT4;8693
ENSG00000230903;6499.411701;0.012457466;0.073213748;0.879343832;0.94980514;NA;NA
ENSG00000225921;63.51828706;0.02312241;0.197343062;0.879394593;0.94980514;NOL7;51406
ENSG00000259353;1.793652899;-0.008365539;0.302902598;0.879408143;NA;NA;NA
ENSG00000169762;299.7233368;0.018155732;0.127630147;0.879443338;0.94980514;TAPT1;202018
ENSG00000208018;1.574622403;-0.008695189;0.303031678;0.879463193;NA;MIR645;693230
ENSG00000205790;2.158716625;0.008698851;0.30256953;0.879463464;NA;DPP9-AS1;100131094
ENSG00000216480;1.847680289;0.009617128;0.301994492;0.879489877;NA;NA;NA
ENSG00000253708;0.719916152;0.002905364;0.308004998;0.879504648;NA;NA;NA
ENSG00000127533;0.520698968;-0.005049278;0.308752112;0.879533769;NA;F2RL3;9002
ENSG00000201616;0.520698968;-0.005049278;0.308752112;0.879533769;NA;NA;NA
ENSG00000233244;0.520698968;-0.005049278;0.308752112;0.879533769;NA;NA;NA
ENSG00000264083;0.520698968;-0.005049278;0.308752112;0.879533769;NA;NA;NA
ENSG00000111796;0.344463204;-0.005476683;0.308784268;0.87955147;NA;KLRB1;3820
ENSG00000131910;0.344463204;-0.005476683;0.308784268;0.87955147;NA;NR0B2;8431
ENSG00000137473;0.344463204;-0.005476683;0.308784268;0.87955147;NA;TTC29;83894
ENSG00000144035;0.344463204;-0.005476683;0.308784268;0.87955147;NA;NAT8;9027
ENSG00000201839;0.344463204;-0.005476683;0.308784268;0.87955147;NA;SNORD114-3;767579
